lat,lon,ele_m,time,x_east_m,y_north_m,r_radial_m
43.325092,-116.414421,890.8,2025-09-19 18:08:25+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:26+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:27+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:28+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:29+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:30+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:31+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:32+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:33+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:34+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:35+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:36+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:37+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:38+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:39+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:40+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:41+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:42+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:43+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:44+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:45+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:46+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:47+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:48+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:49+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:50+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:51+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:52+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:53+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:54+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:55+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:56+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:57+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:58+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:08:59+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:09:00+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:09:01+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:09:02+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:09:03+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.8,2025-09-19 18:09:04+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.7,2025-09-19 18:09:05+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.7,2025-09-19 18:09:06+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.7,2025-09-19 18:09:07+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.7,2025-09-19 18:09:08+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.7,2025-09-19 18:09:09+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.7,2025-09-19 18:09:10+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.7,2025-09-19 18:09:11+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.7,2025-09-19 18:09:12+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.7,2025-09-19 18:09:13+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.7,2025-09-19 18:09:14+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.7,2025-09-19 18:09:15+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.7,2025-09-19 18:09:16+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.7,2025-09-19 18:09:17+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.7,2025-09-19 18:09:18+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.7,2025-09-19 18:09:19+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.7,2025-09-19 18:09:20+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.7,2025-09-19 18:09:21+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.7,2025-09-19 18:09:22+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.7,2025-09-19 18:09:23+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.7,2025-09-19 18:09:24+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.7,2025-09-19 18:09:25+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.7,2025-09-19 18:09:26+00:00,0.0,0.0,0.0
43.325092,-116.414421,890.7,2025-09-19 18:09:27+00:00,0.0,0.0,0.0
